序號,地區,社區藥局名稱
1,臺北市,予志藥局
2,臺北市,佳赫藥局
3,新北市,出雲藥局
4,新北市,柏愛藥局
5,桃園市,家福聯合藥局
6,桃園市,中日大藥局
7,台中市,美術藥局
8,台中市,美日藥局
9,台南市,資生大藥局
10,台南市,建壽藥局
11,高雄市,弘興藥局
12,高雄市,英祥藥局
13,基隆市,禎宸藥局
14,基隆市,日星藥局
15,新竹市,保安藥局
16,新竹市,倫洋藥局
17,新竹縣,高平堂藥局
18,新竹縣,樂安藥師藥局
19,新竹縣,黃藥師中西藥局
20,新竹縣,文興藥局
21,嘉義市,弘安藥局
22,嘉義市,聖心藥局
23,嘉義縣,進發藥局
24,嘉義縣,良信藥局
25,嘉義縣,春森藥局
26,嘉義縣,博勝藥局
27,苗栗縣,心惠聯合藥局
28,苗栗縣,米樂中西健保藥局
29,苗栗縣,懷生中西藥局
30,彰化縣,范藥局
31,彰化縣,溪畔藥局
32,南投縣,南投藥局
33,南投縣,健泰藥局
34,雲林縣,北友藥局
35,雲林縣,健康藥局
36,宜蘭縣,和康藥局
37,宜蘭縣,熊賀大藥局
38,台東縣,仁愛藥局
39,台東縣,詠康藥局
40,台東縣,合興大藥局
41,台東縣,聯美藥局
42,屏東縣,陽生藥局
43,屏東縣,福安新藥局
44,屏東縣,欣正宗藥局
45,屏東縣,大眾藥局
46,花蓮縣,全心藥局
47,花蓮縣,健安藥局
48,花蓮縣,安康鳳林藥局
49,花蓮縣,仁德藥局
50,澎湖縣,東文藥局
51,澎湖縣,金福藥局
52,澎湖縣,陽明金福藥局
53,澎湖縣,合珍藥局
54,金門縣,大賀藥局
55,金門縣,大森藥局
56,金門縣,大山藥局
57,金門縣,仁愛復興藥局
